japanese,reading,english,type,verb_group,adjective_group,group,additional_info,verb_stem,verb_masu,verb_te_form,verb_short_negative,verb_short_past,adjective_negative,adjective_past,adjective_te_form
食べる,たべる,eat,verb,ru,,,,たべ,たべます,たべて,たべない,たべた,,,
飲む,のむ,drink,verb,u,,,,のみ,のみます,のんで,のまない,のんだ,,,
見る,みる,see / watch,verb,ru,,,,み,みます,みて,みない,みた,,,
聞く,きく,hear / listen / ask,verb,u,,,,きき,ききます,きいて,きかない,きいた,,,
行く,いく,go,verb,u,,,,いき,いきます,いって,いかない,いった,,,
来る,くる,come,verb,irr,,,,き,きます,きて,こない,きた,,,
帰る,かえる,return / go home,verb,u,,,,かえり,かえります,かえって,かえらない,かえった,,,
買う,かう,buy,verb,u,,,,かい,かいます,かって,かわない,かった,,,
読む,よむ,read,verb,u,,,,よみ,よみます,よんで,よまない,よんだ,,,
書く,かく,write,verb,u,,,,かき,かきます,かいて,かかない,かいた,,,
話す,はなす,speak,verb,u,,,,はなし,はなします,はなして,はなさない,はなした,,,
会う,あう,meet,verb,u,,,,あい,あいます,あって,あわない,あった,,,
友達,ともだち,friend,noun,,,,,,,,,,,,
先生,せんせい,teacher,noun,,,,,,,,,,,,
学生,がくせい,student,noun,,,,,,,,,,,,
学校,がっこう,school,noun,,,,,,,,,,,,
電車,でんしゃ,train,noun,,,,,,,,,,,,
駅,えき,station,noun,,,,,,,,,,,,
家,いえ,house / home,noun,,,,,,,,,,,,
会社,かいしゃ,company,noun,,,,,,,,,,,,
時間,じかん,time / hour,noun,,,,,,,,,,,,
今日,きょう,today,noun,,,,,,,,,,,,
明日,あした,tomorrow,noun,,,,,,,,,,,,
昨日,きのう,yesterday,noun,,,,,,,,,,,,
大きい,おおきい,big,adjective,,i,,,,,,,,おおきくない,おおきかった,おおきくて
小さい,ちいさい,small,adjective,,i,,,,,,,,ちいさくない,ちいさかった,ちいさくて
新しい,あたらしい,new,adjective,,i,,,,,,,,あたらしくない,あたらしかった,あたらしくて
古い,ふるい,old,adjective,,i,,,,,,,,ふるくない,ふるかった,ふるくて
高い,たかい,high / expensive,adjective,,i,,,,,,,,たかくない,たかかった,たかくて
安い,やすい,cheap,adjective,,i,,,,,,,,やすくない,やすかった,やすくて
おいしい,おいしい,delicious,adjective,,i,,,,,,,,おいしくない,おいしかった,おいしくて
楽しい,たのしい,fun / enjoyable,adjective,,i,,,,,,,,たのしくない,たのしかった,たのしくて
水,みず,water,noun,,,,,,,,,,,,
ご飯,ごはん,meal / rice,noun,,,,,,,,,,,,
お金,おかね,money,noun,,,,,,,,,,,,
店,みせ,shop / store,noun,,,,,,,,,,,,
猫,ねこ,cat,noun,,,,,,,,,,,,
犬,いぬ,dog,noun,,,,,,,,,,,,
日本,にほん,Japan,noun,,,,,,,,,,,,
おきる,おきる,get up,verb,ru,,,,おき,おきます,おきて,おきない,おきた,,,
みる,みる,see,verb,ru,,,,み,みます,みて,みない,みた,,,
たべる,たべる,eat,verb,ru,,,,たべ,たべます,たべて,たべない,たべた,,,
ねる,ねる,sleep,verb,ru,,,,ね,ねます,ねて,ねない,ねた,,,
でる,でる,exit,verb,ru,,,,で,でます,でて,でない,でた,,,
はじめる,はじめる,start,verb,ru,,,,はじめ,はじめます,はじめて,はじめない,はじめた,,,
かえる,かえる,return,verb,u,,,,かえり,かえります,かえって,かえらない,かえった,,,
かえす,かえす,return (a thing),verb,u,,,,かえし,かえします,かえして,かえさない,かえした,,,
おしえる,おしえる,teach,verb,ru,,,,おしえ,おしえます,おしえて,おしえない,おしえた,,,
はいる,はいる,enter,verb,u,,,,はいり,はいります,はいって,はいらない,はいった,,,
おわる,おわる,end,verb,u,,,,おわり,おわります,おわって,おわらない,おわった,,,
はなす,はなす,speak / talk,verb,u,,,,はなし,はなします,はなして,はなさない,はなした,,,
きく,きく,listen,verb,u,,,,きき,ききます,きいて,きかない,きいた,,,
いく,いく,go,verb,u,,,,いき,いきます,いって,いかない,いった,,,
でかける,でかける,go out,verb,ru,,,,でかけ,でかけます,でかけて,でかけない,でかけた,,,
よむ,よむ,read,verb,u,,,,よみ,よみます,よんで,よまない,よんだ,,,
のむ,のむ,drink,verb,u,,,,のみ,のみます,のんで,のまない,のんだ,,,
かう,かう,buy,verb,u,,,,かい,かいます,かって,かわない,かった,,,
かく,かく,write,verb,u,,,,かき,かきます,かいて,かかない,かいた,,,
とる,とる,take,verb,u,,,,とり,とります,とって,とらない,とった,,,
あう,あう,meet (に),verb,u,,,,あい,あいます,あって,あわない,あった,,,
もつ,もつ,hold / carry / have,verb,u,,,,もち,もちます,もって,もたない,もった,,,
あそぶ,あそぶ,play,verb,u,,,,あそび,あそびます,あそんで,あそばない,あそんだ,,,
まつ,まつ,wait,verb,u,,,,まち,まちます,まって,またない,まった,,,
ある,ある,exist / have (things),verb,u,,,,あり,あります,あって,ない,あった,,,
いる,いる,exist / have (living things),verb,ru,,,,い,います,いて,いない,いた,,,
しぬ,しぬ,die,verb,u,,,,しに,しにます,しんで,しなない,しんだ,,,
ころす,ころす,kill,verb,u,,,,ころし,ころします,ころして,ころさない,ころした,,,
およぐ,およぐ,swim,verb,u,,,,およぎ,およぎます,およいで,およがない,およいだ,,,
つくる,つくる,make,verb,u,,,,つくり,つくります,つくって,つくらない,つくった,,,
くる,くる,come,verb,irr,,,,き,きます,きて,こない,きた,,,
する,する,do,verb,irr,,,,し,します,して,しない,した,,,
そうじする,そうじする,clean,verb,irr,,,,そうじし,そうじします,そうじして,そうじしない,そうじした,,,
りょこうする,りょこうする,travel,verb,irr,,,,りょこうし,りょこうします,りょこうして,りょこうしない,りょこうした,,,
かいものする,かいものする,go shopping,verb,irr,,,,かいものし,かいものします,かいものして,かいものしない,かいものした,,,
